ID,Description,PCA1,PCA2,Cluster
1,"In Karachi, bike theft is rising, and police response is slow despite repeated complaints.",-0.12720108193256793,-0.09724027397356683,3
2,"Street crimes in Lahore are increasing, and people feel unsafe walking at night.",-0.09720901082910853,-0.1426255142730632,4
3,"Robberies in Islamabad markets are becoming frequent, causing fear among shopkeepers.",-0.07255184311908061,-0.06069671995385922,2
4,"Mobile snatching incidents are reported daily, yet no action is taken.",-0.07795880002419991,-0.05215039277011032,3
5,"The police are not patrolling the streets at night, leading to an increase in theft cases.",-0.12005829300661305,-0.2214616866187824,2
6,"Several murder cases remain unsolved, and families are demanding justice.",-0.09381653945323186,-0.12815764136564975,2
7,"Drug dealers openly operate in residential areas, but police seem unaware.",0.06895848793965255,-0.13529584019206722,4
8,The police take hours to respond to emergency calls in case of an attack.,-0.10483534955422308,-0.029802269077602018,2
9,A recent kidnapping case in Multan remains unsolved despite available CCTV footage.,-0.0358188101920096,-0.07198105637691724,2
10,"There is a lack of female police officers in the city, making it hard for women to report crimes.",-0.06470184769911817,0.35562699498581574,1
11,"Gangs are openly involved in extortion, but local police do not take any strict action.",0.12130031510403431,-0.1789422909734829,0
12,People are afraid to report crimes because they believe police do not take them seriously.,0.11554663243930838,-0.10968351823613018,2
13,The traffic police are failing to control reckless driving and road accidents.,-0.09629044905137152,-0.11465328781197039,2
14,"Cases of harassment are increasing, and police stations fail to register complaints.",-0.17633962862862673,-0.13620467302113987,2
15,"There are reports of police brutality in several areas, causing public outrage.",-0.09137670533035058,-0.09727884502681614,2
16,Protests are being held against police inaction in domestic violence cases.,-0.10785997348556108,-0.13708698617582651,2
17,The police are accepting bribes to let criminals go free.,-0.10024135341951777,-0.11077660973559655,2
18,Several people are falsely accused of crimes due to corrupt police practices.,-0.07574907163692302,-0.009347718595230961,2
19,"There is an increase in missing persons cases, but investigations remain slow.",-0.156244908753371,-0.0774871279572656,2
20,"Despite surveillance cameras, crime rates are not reducing, indicating poor police efficiency.",0.0033249287050218334,-0.17506328777251018,2
21,"Government hospitals lack basic medicines, forcing patients to buy expensive drugs.",0.01790616412864403,0.14543815569091867,1
22,"Several hospitals have unhygienic conditions, increasing the risk of infections.",0.10218979009685575,-0.026916365326202892,2
23,"Rural clinics do not have enough doctors, making healthcare inaccessible.",0.38791793030412847,-0.04235712439794636,0
24,Patients wait for hours to receive emergency treatment due to a shortage of staff.,-0.038443212944495764,0.1632648825988847,2
25,"Many government hospitals have broken medical equipment, delaying treatment.",0.15699270741261614,0.08169064961416245,1
26,"The vaccination drive is slow, causing concern about disease outbreaks.",-0.082490696241344,-0.04335994443919329,3
27,"Ambulance services are limited, resulting in preventable deaths.",-0.06316205719710385,-0.08699205562085247,2
28,"Hospital management is corrupt, and medicines meant for free distribution are being sold.",-0.09881745265064183,-0.041967971256182526,3
29,"Nurses are overworked and underpaid, leading to a decline in healthcare quality.",-0.06276240299979431,-0.0675992369643591,2
30,Many private hospitals are overcharging patients without any regulations.,0.014733038712172018,-0.018528175395509928,4
31,"Medical waste is being dumped in open areas, creating health hazards.",-0.04834148423484368,-0.03361114081301619,3
32,"There is a lack of mental health facilities, leaving patients without proper care.",-0.09275080581601561,0.281804827100095,1
33,"The number of dengue fever cases is increasing, and hospitals are running out of space.",-0.13932708158714285,-0.035775716359302004,2
34,"Several areas do not have clean drinking water, leading to waterborne diseases.",0.41233800247915103,-0.07476847356449438,0
35,Children in remote villages are not receiving proper vaccinations.,0.010853012649880147,-0.06314406983160116,1
36,A recent food poisoning outbreak exposed the poor hygiene standards in food chains.,-0.04432960393371007,-0.05512942678469407,2
37,Pharmaceutical companies are increasing drug prices without government regulation.,-0.049323694970521866,-0.052904129110872285,4
38,The shortage of female doctors in rural areas makes healthcare inaccessible for women.,0.025353954428074057,0.16656960057989853,2
39,Patients with serious conditions are forced to wait months for surgeries.,-0.03041612001888804,0.012487253710348655,1
40,"Government hospitals do not have air conditioning in extreme weather, making it unbearable for patients.",0.3598600135945864,0.08986142227355555,1
41,"Many government schools lack proper furniture, making it hard for students to study.",0.11119152288888214,0.5191487500840922,1
