Issue ID,Description
1,"In Karachi, bike theft is becoming a major problem, especially in areas like Korangi. Residents report that bikes are stolen daily, and despite complaints, the police are unable to do much. It's now common for people to install additional security measures to protect their bikes."
2,"In Lahore, theft of mobile phones in crowded areas like Baghbanpura has been increasing. Thieves often snatch phones from people's hands in broad daylight, and the police seem to be doing very little to stop it."
3,"Rawalpindi is facing a surge in house break-ins, particularly in residential neighborhoods. Thieves have been known to break into homes even during the day, and families are installing expensive security systems to feel safe."
4,"In Faisalabad, there’s a growing concern about ATM thefts. Criminals are targeting individuals withdrawing money late at night, and many people now avoid using ATMs after dark due to fear of being robbed."
5,"Sialkot’s local markets are plagued by shoplifting. Business owners are struggling with increasing thefts and are frustrated by the lack of visible police presence, making it difficult to prevent losses."
6,"In Islamabad, carjacking incidents have become a problem. Robbers frequently target vehicles in quiet areas, especially at night, and many drivers are now reluctant to travel after dark due to safety concerns."
7,"Peshawar’s busy markets have become hotspots for pickpocketing. With large crowds, it’s easy for thieves to swipe phones, wallets, and other valuables without anyone noticing."
8,"Quetta faces a serious issue of street thefts, especially in crowded areas like the main bazaar. Residents often report losing their belongings in busy markets, and the police seem to be overwhelmed and unable to help."
9,"In Multan, theft of household items from homes has been increasing. Thieves often break into homes during the night, and the local police force is understaffed, making it difficult to address the problem effectively."
10,"In Sukkur, thefts in public places are becoming common. People complain about losing their bags or wallets in crowded spots, and there is a general sense of insecurity among residents."
11,"In Karachi, many schools face issues with inadequate infrastructure. Classrooms are overcrowded, and the lack of basic facilities such as clean drinking water and working toilets is a constant challenge for students and staff."
12,"In Lahore, the education system is struggling due to a shortage of teachers and outdated textbooks. Students in many public schools are not receiving the quality of education they deserve, which is affecting their future prospects."
13,"In Rawalpindi, many students attend schools that lack proper facilities, including science labs and libraries. The education quality is compromised, and parents are frustrated with the state of public schools."
14,"In Faisalabad, several government schools are overcrowded, with too many students in each classroom. This makes it difficult for teachers to provide individual attention, and students are not receiving the best education possible."
15,"Sialkot’s schools face challenges with outdated curricula and a lack of resources. The teaching staff is underpaid and overworked, which impacts the quality of education students are receiving."
16,"In Islamabad, many students struggle to access quality education because of the rising cost of private schooling. Public schools are underfunded, and the overall education system seems to be deteriorating."
17,"In Multan, the education system is facing a shortage of qualified teachers in subjects like science and mathematics. This is causing a gap in the quality of education, and students are not getting the skills they need to succeed."
18,"In Peshawar, many students have to travel long distances to attend schools, as there are not enough schools in rural areas. This creates an additional burden for families, and the education system is not catering to the needs of these communities."
19,"In Quetta, the lack of educational facilities in rural areas means that many children cannot access basic education. This is a huge issue that is affecting the future of many children in the region."
20,"In Sukkur, students often have to study in classrooms with broken windows and poor ventilation. This not only affects their health but also makes it hard to concentrate and learn effectively."
21,"In Karachi, the roads are in poor condition, with numerous potholes and cracks making it unsafe for drivers. Traffic jams are common, and accidents happen regularly due to the damaged roads."
22,"In Lahore, many main roads are riddled with potholes and uneven surfaces, causing accidents and delays in traffic. The authorities have been slow to repair the roads, leaving commuters frustrated."
23,"In Rawalpindi, traffic jams and poorly maintained roads are a common issue. The lack of proper road infrastructure leads to long travel times, and the roads often worsen during the rainy season, causing more accidents."
24,"In Faisalabad, roads are often blocked by construction work that is left incomplete for weeks, causing massive traffic jams and delays. The lack of proper traffic management worsens the situation."
25,"In Sialkot, traffic congestion is a daily issue due to narrow streets and poorly planned road networks. The situation is further exacerbated by the lack of proper traffic signals and street lighting in some areas."
26,"In Islamabad, the condition of roads in certain sectors is deteriorating. Potholes and cracks are common, and the local authorities have been slow to fix them, resulting in accidents and vehicle damage."
27,"In Multan, many roads are not properly paved, and potholes are a frequent issue. During rainy weather, these roads become even more hazardous, causing accidents and delays in daily commutes."
28,"In Peshawar, the road conditions are extremely poor, with many streets having large potholes and no proper streetlights. This makes driving dangerous, and many areas remain inaccessible during rainy weather."
29,"In Quetta, there is a lack of proper road infrastructure, and many roads are not paved. This is particularly a problem in rural areas, where transportation becomes a challenge due to the poor condition of roads."
30,"In Sukkur, the roads are often clogged with traffic, and the lack of proper infrastructure makes commuting difficult. The authorities seem to be doing little to address the issue, and it continues to worsen."
31,"In Karachi, garbage is often left unattended for days in residential areas, causing foul smells and attracting pests. The city’s waste management system is overwhelmed and unable to deal with the increasing amount of trash."
